0,1,2,3,4
0.781490518,0.75888485,0.904501023,0.863282215,0.755284966
0.781324143,0.758292673,0.904429513,0.863500432,0.754588736
0.781250738,0.757879764,0.904481181,0.86369872,0.754071344
0.781482285,0.757568013,0.904405096,0.863398179,0.753683514
0.782181007,0.75771986,0.904063335,0.863037929,0.753084264
0.781622805,0.757720646,0.904367521,0.863517569,0.752673697
0.781975806,0.757533192,0.904471912,0.863466573,0.752241306
0.781857689,0.757301071,0.904295203,0.863252347,0.75194039
0.781448408,0.757487358,0.904272111,0.863516309,0.751706474
0.781843989,0.756647841,0.904119016,0.863217709,0.751572961
0.781749333,0.757301828,0.903946573,0.862785866,0.751099172
0.781740681,0.756984278,0.904153189,0.863293864,0.750911924
0.781964774,0.757169908,0.904233642,0.863562201,0.750623967
0.781613614,0.757375105,0.904326277,0.863380243,0.750295184
0.782230393,0.756770864,0.903984104,0.863264618,0.750296925
0.781845438,0.757170865,0.904091426,0.863551226,0.750074699
0.782032674,0.756756517,0.903945131,0.863055144,0.749904573
0.781465776,0.757114117,0.904004715,0.863313842,0.749735064
0.781963219,0.756721601,0.904000689,0.863751389,0.749639671
0.781255831,0.756836295,0.90417225,0.863207521,0.749520143
0.781758042,0.757117392,0.904032122,0.863478067,0.749328138
0.781728033,0.757341469,0.903954226,0.863492627,0.749310536
0.782324957,0.756547721,0.904162022,0.863288604,0.748983209
0.781611175,0.757306606,0.904065823,0.863373849,0.749007207
0.781778584,0.757342693,0.904069387,0.863394972,0.749012169
0.781945984,0.757001131,0.903958506,0.863414172,0.749078408
0.782163212,0.756729899,0.90390554,0.863449199,0.748960683
0.782046447,0.756682641,0.903953488,0.863829467,0.748886235
0.781786916,0.756978782,0.904068485,0.863463881,0.748950303
0.781957719,0.756487668,0.904016884,0.863359056,0.748800576
0.782499706,0.756690209,0.904175533,0.863366404,0.748827895
0.781944652,0.75729077,0.904205846,0.863310905,0.748662408
0.78224183,0.756788607,0.903985009,0.863594452,0.748632115
0.782066486,0.757073174,0.904238452,0.863328775,0.748543691
0.782175187,0.756875369,0.903883006,0.863795252,0.74840791
0.781763799,0.757338313,0.904074714,0.8644022,0.748582607
0.781728625,0.756772781,0.903870645,0.864335653,0.748481413
0.781661045,0.757319307,0.904180569,0.864561147,0.748388613
0.782431204,0.756733222,0.904007015,0.864602878,0.748406001
0.782388764,0.75682388,0.903920586,0.864427811,0.748415125
0.782070441,0.756450115,0.904088469,0.864576337,0.748354243
0.781858524,0.75686432,0.903990236,0.864261594,0.7484254
0.7821448,0.756870437,0.904333679,0.864524671,0.748306613
0.781846472,0.7570689,0.903988525,0.864508908,0.748287653
0.781900485,0.757044732,0.904045537,0.864247995,0.748423058
0.782290323,0.757075367,0.903968004,0.865709252,0.748247522
0.781885922,0.756317498,0.904151816,0.866755724,0.748430339
0.782538186,0.757250052,0.904161049,0.866349679,0.748384281
0.782281209,0.757241047,0.904009731,0.863409793,0.748213963
0.782053649,0.757192191,0.903952038,0.866688383,0.748237031
0.782806243,0.757006387,0.903950308,0.86652981,0.748320601
0.781840335,0.756952651,0.903996073,0.866740469,0.748488846
0.781938485,0.757448279,0.904206833,0.866697758,0.748300779
0.782384275,0.757510419,0.904089681,0.866637994,0.748363749
0.782070629,0.757472712,0.904028236,0.866604937,0.74834635
0.782187645,0.757003718,0.904104607,0.866473562,0.748095449
0.782597448,0.756807171,0.904175374,0.866499082,0.748367617
0.782380584,0.756577208,0.90421168,0.867671645,0.74831941
0.782157683,0.757225294,0.904077576,0.867586766,0.74837304
0.78247861,0.756736352,0.904262394,0.8676479,0.748258229
0.782623769,0.757296819,0.904168511,0.86764495,0.748174228
0.782189885,0.756876776,0.904087938,0.863568172,0.748220994
0.783083301,0.756895117,0.904167161,0.86764441,0.748235947
0.782223551,0.756763563,0.9042186,0.867598538,0.748264336
0.782239053,0.756668687,0.903909852,0.867485945,0.74820593
